"","date","lineage","pred","obs"
"232",2020-01-14,"Om:BA.5",0,NA
"233",2020-01-14,"Om:BF.7",0,NA
"234",2020-01-14,"Om:BN.1",4.55061742568044e-70,NA
"235",2020-01-14,"Om:BQ.1",0,NA
"236",2020-01-14,"Om:BQ.1.1",0,NA
"237",2020-01-14,"Om:XBB",2.33373922531952e-30,NA
"238",2020-01-14,"Other",1,NA
"239",2020-01-15,"Alpha",3.65216758397413e-20,NA
"240",2020-01-15,"Beta",4.22213099771913e-24,NA
"241",2020-01-15,"Delta",7.38149571362808e-42,NA
"242",2020-01-15,"Om:BA.1",3.45928782816005e-177,NA
"243",2020-01-15,"Om:BA.2",5.70248752398244e-152,NA
"244",2020-01-15,"Om:BA.2.12.1",4.46399431117078e-274,NA
"245",2020-01-15,"Om:BA.2.75",0,NA
"246",2020-01-15,"Om:BA.2.75.2",1.17129875494203e-105,NA
"247",2020-01-15,"Om:BA.4",0,NA
"248",2020-01-15,"Om:BA.4.6",0,NA
"249",2020-01-15,"Om:BA.5",0,NA
"250",2020-01-15,"Om:BF.7",0,NA
"251",2020-01-15,"Om:BN.1",5.90794523011311e-70,NA
"252",2020-01-15,"Om:BQ.1",0,NA
"253",2020-01-15,"Om:BQ.1.1",0,NA
"254",2020-01-15,"Om:XBB",2.57379122866117e-30,NA
"255",2020-01-15,"Other",1,NA
"256",2020-01-16,"Alpha",4.16574091228367e-20,NA
"257",2020-01-16,"Beta",4.9046656229231e-24,NA
"258",2020-01-16,"Delta",9.28170341487606e-42,NA
"259",2020-01-16,"Om:BA.1",7.6963705045578e-177,NA
"260",2020-01-16,"Om:BA.2",1.08564757447703e-151,NA
"261",2020-01-16,"Om:BA.2.12.1",1.38030873999813e-273,NA
"262",2020-01-16,"Om:BA.2.75",0,NA
"263",2020-01-16,"Om:BA.2.75.2",1.7629269150494e-105,NA
"264",2020-01-16,"Om:BA.4",0,NA
"265",2020-01-16,"Om:BA.4.6",0,NA
"266",2020-01-16,"Om:BA.5",0,NA
"267",2020-01-16,"Om:BF.7",0,NA
"268",2020-01-16,"Om:BN.1",7.67012771608616e-70,NA
"269",2020-01-16,"Om:BQ.1",0,NA
"270",2020-01-16,"Om:BQ.1.1",0,NA
"271",2020-01-16,"Om:XBB",2.83853534999233e-30,NA
"272",2020-01-16,"Other",1,NA
"273",2020-01-17,"Alpha",4.75153369862366e-20,NA
"274",2020-01-17,"Beta",5.69753635917008e-24,NA
"275",2020-01-17,"Delta",1.16710788197936e-41,NA
"276",2020-01-17,"Om:BA.1",1.7123212026832e-176,NA
"277",2020-01-17,"Om:BA.2",2.0668710821567e-151,NA
"278",2020-01-17,"Om:BA.2.12.1",4.2680435612288e-273,NA
"279",2020-01-17,"Om:BA.2.75",0,NA
"280",2020-01-17,"Om:BA.2.75.2",2.65338906465387e-105,NA
"281",2020-01-17,"Om:BA.4",0,NA
"282",2020-01-17,"Om:BA.4.6",0,NA
"283",2020-01-17,"Om:BA.5",0,NA
"284",2020-01-17,"Om:BF.7",0,NA
"285",2020-01-17,"Om:BN.1",9.9579222368567e-70,NA
"286",2020-01-17,"Om:BQ.1",0,NA
"287",2020-01-17,"Om:BQ.1.1",0,NA
"288",2020-01-17,"Om:XBB",3.13051145851767e-30,NA
"289",2020-01-17,"Other",1,NA
"290",2020-01-18,"Alpha",5.41970155238947e-20,NA
"291",2020-01-18,"Beta",6.61857974830057e-24,NA
"292",2020-01-18,"Delta",1.46755476585814e-41,NA
"293",2020-01-18,"Om:BA.1",3.80964494812491e-176,NA
"294",2020-01-18,"Om:BA.2",3.93493816104498e-151,NA
"295",2020-01-18,"Om:BA.2.12.1",1.31971893770442e-272,NA
"296",2020-01-18,"Om:BA.2.75",0,NA
"297",2020-01-18,"Om:BA.2.75.2",3.99362756806458e-105,NA
"298",2020-01-18,"Om:BA.4",0,NA
"299",2020-01-18,"Om:BA.4.6",0,NA
"300",2020-01-18,"Om:BA.5",0,NA
"301",2020-01-18,"Om:BF.7",0,NA
"302",2020-01-18,"Om:BN.1",1.29281048433286e-69,NA
"303",2020-01-18,"Om:BQ.1",0,NA
"304",2020-01-18,"Om:BQ.1.1",0,NA
"305",2020-01-18,"Om:XBB",3.45252067829169e-30,NA
"306",2020-01-18,"Other",1,NA
"307",2020-01-19,"Alpha",6.18182818012658e-20,NA
"308",2020-01-19,"Beta",7.68851572383739e-24,NA
"309",2020-01-19,"Delta",1.84534525389408e-41,NA
"310",2020-01-19,"Om:BA.1",8.47585990760985e-176,NA
"311",2020-01-19,"Om:BA.2",7.49139047177075e-151,NA
"312",2020-01-19,"Om:BA.2.12.1",4.0806942327328e-272,NA
"313",2020-01-19,"Om:BA.2.75",0,NA
"314",2020-01-19,"Om:BA.2.75.2",6.01082644262948e-105,NA
"315",2020-01-19,"Om:BA.4",0,NA
"316",2020-01-19,"Om:BA.4.6",0,NA
"317",2020-01-19,"Om:BA.5",0,NA
"318",2020-01-19,"Om:BF.7",0,NA
"319",2020-01-19,"Om:BN.1",1.67842137008748e-69,NA
"320",2020-01-19,"Om:BQ.1",0,NA
"321",2020-01-19,"Om:BQ.1.1",0,NA
"322",2020-01-19,"Om:XBB",3.80765226129403e-30,NA
"323",2020-01-19,"Other",1,NA
"324",2020-01-20,"Alpha",7.05112620671132e-20,NA
"325",2020-01-20,"Beta",8.93141372979204e-24,NA
"326",2020-01-20,"Delta",2.32038979756794e-41,NA
"327",2020-01-20,"Om:BA.1",1.8857453162082e-175,NA
"328",2020-01-20,"Om:BA.2",1.42622142721638e-150,NA
"329",2020-01-20,"Om:BA.2.12.1",1.26178877526924e-271,NA
"330",2020-01-20,"Om:BA.2.75",0,NA
"331",2020-01-20,"Om:BA.2.75.2",9.04692135349126e-105,NA
"332",2020-01-20,"Om:BA.4",0,NA
"333",2020-01-20,"Om:BA.4.6",0,NA
"334",2020-01-20,"Om:BA.5",0,NA
"335",2020-01-20,"Om:BF.7",0,NA
"336",2020-01-20,"Om:BN.1",2.17904969808482e-69,NA
"337",2020-01-20,"Om:BQ.1",0,NA
"338",2020-01-20,"Om:BQ.1.1",0,NA
"339",2020-01-20,"Om:XBB",4.19931322471073e-30,NA
"340",2020-01-20,"Other",1,NA
"341",2020-01-21,"Alpha",8.04266623630952e-20,NA
"342",2020-01-21,"Beta",1.03752341905732e-23,NA
"343",2020-01-21,"Delta",2.91772436691477e-41,NA
"344",2020-01-21,"Om:BA.1",4.19548628264688e-175,NA
"345",2020-01-21,"Om:BA.2",2.71526036069849e-150,NA
"346",2020-01-21,"Om:BA.2.12.1",3.90156875912077e-271,NA
"347",2020-01-21,"Om:BA.2.75",0,NA
"348",2020-01-21,"Om:BA.2.75.2",1.36165611763113e-104,NA
"349",2020-01-21,"Om:BA.4",0,NA
"350",2020-01-21,"Om:BA.4.6",0,NA
"351",2020-01-21,"Om:BA.5",0,NA
"352",2020-01-21,"Om:BF.7",0,NA
"353",2020-01-21,"Om:BN.1",2.82900210361118e-69,NA
"354",2020-01-21,"Om:BQ.1",0,NA
"355",2020-01-21,"Om:BQ.1.1",0,NA
"356",2020-01-21,"Om:XBB",4.63126103675167e-30,NA
"357",2020-01-21,"Other",1,NA
"358",2020-01-22,"Alpha",9.1736381242341e-20,NA
"359",2020-01-22,"Beta",1.20524575129883e-23,NA
"360",2020-01-22,"Delta",3.66882990530773e-41,NA
"361",2020-01-22,"Om:BA.1",9.33429609851553e-175,NA
"362",2020-01-22,"Om:BA.2",5.16935076537783e-150,NA
"363",2020-01-22,"Om:BA.2.12.1",1.20640150558486e-270,NA
"364",2020-01-22,"Om:BA.2.75",0,NA
"365",2020-01-22,"Om:BA.2.75.2",2.04943462006201e-104,NA
"366",2020-01-22,"Om:BA.4",4.94065645841247e-324,NA
"367",2020-01-22,"Om:BA.4.6",0,NA
"368",2020-01-22,"Om:BA.5",0,NA
"369",2020-01-22,"Om:BF.7",0,NA
"370",2020-01-22,"Om:BN.1",3.67281797623549e-69,NA
"371",2020-01-22,"Om:BQ.1",0,NA
"372",2020-01-22,"Om:BQ.1.1",0,NA
"373",2020-01-22,"Om:XBB",5.1076396645815e-30,NA
"374",2020-01-22,"Other",1,NA
"375",2020-01-23,"Alpha",1.04636489892459e-19,NA
"376",2020-01-23,"Beta",1.40008147704629e-23,NA
"377",2020-01-23,"Delta",4.61329144956677e-41,NA
